date,total_electricity
2017-12-17,99262000
2017-12-18,51090000
2017-12-19,165239000
2017-12-20,166557000
2017-12-21,166938000
2017-12-22,161775000
2017-12-23,147136000
2017-12-24,147303000
2017-12-25,146378000
2017-12-26,160391000
2017-12-27,169012000
2017-12-28,168431000
2017-12-29,169792000
2017-12-30,161044000
2017-12-31,160760000
2018-01-01,161982000
2018-01-02,180449000
2018-01-03,178770000
2018-01-04,165411000
2018-01-05,172850000
2018-01-06,162797000
2018-01-07,164402000
2018-01-08,180725000
2018-01-09,180450000
2018-01-10,177312000
2018-01-11,169567000
2018-01-12,158609000
2018-01-13,149897000
2018-01-14,152802000
2018-01-15,155560000
2018-01-16,171044000
2018-01-17,169561000
2018-01-18,171675000
2018-01-19,169257000
2018-01-20,153132000
2018-01-21,151540000
2018-01-22,162573000
2018-01-23,155806000
2018-01-24,159229000
2018-01-25,167376000
2018-01-26,167689000
2018-01-27,155155000
2018-01-28,150701000
2018-01-29,165864000
2018-01-30,165752000
2018-01-31,170494000
2018-02-01,164626000
2018-02-02,163924000
2018-02-03,151019000
2018-02-04,150104000
2018-02-05,163012000
2018-02-06,169181000
2018-02-07,161329000
2018-02-08,154086000
2018-02-09,157004000
2018-02-10,136941000
2018-02-11,132065000
2018-02-12,145976000
2018-02-13,151055000
2018-02-14,153065000
2018-02-15,147950000
2018-02-16,143283000
2018-02-17,134304000
2018-02-18,133635000
2018-02-19,134535000
2018-02-20,142613000
2018-02-21,136240000
2018-02-22,144228000
2018-02-23,147227000
2018-02-24,132019000
2018-02-25,130525000
2018-02-26,25736000
2018-02-27,108552000
2018-02-28,132158000
2018-03-01,129948000
2018-03-02,132080000
2018-03-03,120245000
2018-03-04,120349000
2018-03-05,138828000
2018-03-06,140153000
2018-03-07,138940000
2018-03-08,138010000
2018-03-09,134479000
2018-03-10,121353000
2018-03-11,115907000
2018-03-12,136947000
2018-03-13,127897000
2018-03-14,136037000
2018-03-15,137807000
2018-03-16,136919000
2018-03-17,123804000
2018-03-18,124647000
2018-03-19,143478000
2018-03-20,144809000
2018-03-21,140646000
2018-03-22,139085000
2018-03-23,134859000
2018-03-24,121310000
2018-03-25,120655000
2018-03-26,137782000
2018-03-27,137809000
2018-03-28,132852000
2018-03-29,130855000
2018-03-30,124234000
2018-03-31,112297000
2018-04-01,97450000
2018-04-02,136064000
2018-04-03,136853000
2018-04-04,129729000
2018-04-05,134466000
2018-04-06,134110000
2018-04-07,119685000
2018-04-08,120585000
2018-04-09,135024000
2018-04-10,132733000
2018-04-11,131461000
2018-04-12,128028000
2018-04-13,119458000
2018-04-14,105277000
2018-04-15,110155000
2018-04-16,109280000
2018-04-17,125128000
2018-04-18,126081000
2018-04-19,126676000
2018-04-20,125541000
2018-04-21,111945000
2018-04-22,112441000
2018-04-23,125215000
2018-04-24,122253000
2018-04-25,120093000
2018-04-26,119120000
2018-04-27,117362000
2018-04-28,102967000
2018-04-29,102069000
2018-04-30,119084000
2018-05-01,119097000
2018-05-02,134842000
2018-05-03,150903000
2018-05-04,153162000
2018-05-05,132466000
2018-05-06,124593000
2018-05-07,113890000
2018-05-08,114679000
2018-05-09,113629000
2018-05-10,114613000
2018-05-11,112264000
2018-05-12,100297000
2018-05-13,99044000
2018-05-14,113081000
2018-05-15,140436000
2018-05-16,138024000
2018-05-17,119794000
2018-05-18,114705000
2018-05-19,100285000
2018-05-20,120536000
2018-05-21,143655000
2018-05-22,132351000
2018-05-23,131658000
2018-05-24,122763000
2018-05-25,141908000
2018-05-26,139933000
2018-05-27,111658000
2018-05-28,102925000
2018-05-29,145907000
2018-05-30,133762000
2018-05-31,143701000
2018-06-01,164920000
2018-06-02,147650000
2018-06-03,107341000
2018-06-04,123750000
2018-06-05,126355000
2018-06-06,123086000
2018-06-07,120792000
2018-06-08,136868000
2018-06-09,139409000
2018-06-10,135883000
2018-06-11,146339000
2018-06-12,150876000
2018-06-13,155153000
2018-06-14,156152000
2018-06-15,125466000
2018-06-16,131164000
2018-06-17,138872000
2018-06-18,163525000
2018-06-19,160859000
2018-06-20,157565000
2018-06-21,159634000
2018-06-22,152968000
2018-06-23,136235000
2018-06-24,141208000
2018-06-25,156794000
2018-06-26,153299000
2018-06-27,157563000
2018-06-28,166074000
2018-06-29,165694000
2018-06-30,155144000
