id,bp_loc_id,count_id,town,description,temperature,sky,count_type,from_st_name,from_st_dir,to_st_name,to_st_dir,count_date,count_dow,cnt_0630,cnt_0645,cnt_0700,cnt_0715,cnt_0730,cnt_0745,cnt_0800,cnt_0815,cnt_0830,cnt_0845,cnt_0900,cnt_0915,cnt_0930,cnt_0945,cnt_1000,cnt_1015,cnt_1030,cnt_1045,cnt_1100,cnt_1115,cnt_1130,cnt_1145,cnt_1200,cnt_1215,cnt_1230,cnt_1245,cnt_1300,cnt_1315,cnt_1330,cnt_1345,cnt_1400,cnt_1415,cnt_1430,cnt_1445,cnt_1500,cnt_1515,cnt_1530,cnt_1545,cnt_1600,cnt_1615,cnt_1630,cnt_1645,cnt_1700,cnt_1715,cnt_1730,cnt_1745,cnt_1800,cnt_1815,cnt_1830,cnt_1845,cnt_1900,cnt_1915,cnt_1930,cnt_1945,cnt_2000,cnt_2015,cnt_2030,cnt_2045,cnt_total
36,20014,7003,Boston,"",54,3,B,Comm Ave.,EB,Comm Ave.,EB,"1975-10-09",Thu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,4,6,10,5,12,2,6,4,4,7,11,4,10,3,2,3,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,115,
37,10127,7004,Boston,"",54,3,B,Comm Ave.,WB,Brookline Ave.,SB,"1975-10-09",Thu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
38,10127,7004,Boston,"",54,3,B,Comm Ave.,WB,Beacon St.,WB,"1975-10-09",Thu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
39,10127,7004,Boston,"",54,3,B,Comm Ave.,WB,Comm Ave.,WB,"1975-10-09",Thu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
40,10127,7004,Boston,"",54,3,B,Comm Ave.,WB,Deerfield St.,NB,"1975-10-09",Thu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,10127,7004,Boston,"",54,3,B,Brookline Ave.,NB,Comm Ave.,EB,"1975-10-09",Thu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,4,3,0,0,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,21,
42,10127,7004,Boston,"",54,3,B,Brookline Ave.,NB,Beacon St.,WB,"1975-10-09",Thu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
43,10127,7004,Boston,"",54,3,B,Brookline Ave.,NB,Comm Ave.,WB,"1975-10-09",Thu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,8,
44,10127,7004,Boston,"",54,3,B,Brookline Ave.,NB,Deerfield St.,NB,"1975-10-09",Thu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
45,10127,7004,Boston,"",54,3,B,Brookline Ave.,NB,Beacon St.,EB,"1975-10-09",Thu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
46,10127,7004,Boston,"",54,3,B,Beacon St.,EB,Comm Ave.,EB,"1975-10-09",Thu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,3,1,0,0,0,1,2,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,22,
47,10127,7004,Boston,"",54,3,B,Beacon St.,EB,Brookline Ave.,SB,"1975-10-09",Thu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
48,10127,7004,Boston,"",54,3,B,Beacon St.,EB,Comm Ave.,WB,"1975-10-09",Thu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
49,10127,7004,Boston,"",54,3,B,Beacon St.,EB,Deerfield St.,NB,"1975-10-09",Thu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,
50,10127,7004,Boston,"",54,3,B,Beacon St.,EB,Beacon St.,EB,"1975-10-09",Thu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,
51,10127,7004,Boston,"",54,3,B,Comm Ave.,EB,Comm Ave.,EB,"1975-10-09",Thu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,4,7,5,4,2,11,5,2,6,4,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,74,
52,10127,7004,Boston,"",54,3,B,Comm Ave.,EB,Brookline Ave.,SB,"1975-10-09",Thu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,
53,10127,7004,Boston,"",54,3,B,Comm Ave.,EB,Deerfield St.,NB,"1975-10-09",Thu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
54,10127,7004,Boston,"",54,3,B,Comm Ave.,EB,Beacon St.,EB,"1975-10-09",Thu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,
55,10127,7004,Boston,"",54,3,B,Deerfield St.,SB,Comm Ave.,EB,"1975-10-09",Thu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
